iso3,country,year,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_internal_displacements,conflict_internal_displacements_raw,disaster_internal_displacements,disaster_internal_displacements_raw,disaster_stock_displacement,disaster_stock_displacement_raw,total_displacement,population,disaster_per_100k,conflict_per_100k,total_displacement_per_100k
PRK,Dem. People's Rep. Korea,2015,NA,0,NA,NA,6000,5968,NA,0,0,25258015,NA,0,0
THA,Thailand,2015,35000,35000,NA,0,240,237,NA,0,0,70294397,NA,49.790597,0
TLS,Timor-Leste,2015,NA,0,NA,NA,310,311,NA,0,0,1205813,NA,0,0
TUV,Tuvalu,2015,NA,0,NA,NA,5400,5435,NA,0,0,10877,NA,0,0
VNM,Viet Nam,2015,NA,0,NA,NA,9600,9551,NA,0,0,92191398,NA,0,0
VUT,Vanuatu,2015,NA,0,NA,NA,65000,65000,NA,0,0,276438,NA,0,0
AFG,Afghanistan,2014,805000,805409,156000,156193,13000,13125,NA,0,0,32716210,NA,2461.804103,0
AUS,Australia,2014,NA,0,NA,NA,1200,1166,NA,0,0,23475686,NA,0,0
BGD,Bangladesh,2014,426000,426490,NA,0,543000,543000,NA,0,0,155961299,NA,273.458866,0
BRN,Brunei,2014,NA,0,NA,NA,51,51,NA,0,0,416656,NA,0,0
CHN,China,2014,NA,0,NA,NA,3612000,3611522,NA,0,0,1371860000,NA,0,0
FJI,Fiji,2014,NA,0,NA,NA,800,800,NA,0,0,915560,NA,0,0
IDN,Indonesia,2014,84000,84000,800,800,943000,943059,NA,0,0,256229761,NA,32.783077,0
IND,India,2014,854000,853900,345000,345000,3428000,3427618,NA,0,0,1307246509,NA,65.320503,0
IRN,Iran,2014,NA,0,NA,NA,12000,12000,NA,0,0,79961672,NA,0,0
JPN,Japan,2014,NA,0,NA,NA,707000,707470,NA,0,0,127276000,NA,0,0
KHM,Cambodia,2014,NA,0,NA,NA,151000,151073,NA,0,0,15210817,NA,0,0
LAO,Lao PDR,2014,NA,0,NA,0,790,793,NA,0,0,6691454,NA,0,0
MHL,Marshall Islands,2014,NA,0,NA,NA,1200,1246,NA,0,0,50419,NA,0,0
MMR,Myanmar,2014,645000,645261,6200,6200,81000,81032,NA,0,0,51072436,NA,1263.42319,0
MYS,Malaysia,2014,NA,0,NA,NA,256000,255711,NA,0,0,30606459,NA,0,0
PAK,Pakistan,2014,1900000,1900000,907000,907000,771000,770577,NA,0,0,208251628,NA,912.357814,0
PHL,Philippines,2014,78000,77700,124000,123800,5787000,5786981,NA,0,0,101325201,NA,76.683786,0
PNG,Papua New Guinea,2014,7500,7500,1200,1200,21000,21144,NA,0,0,8464153,NA,88.608984,0
THA,Thailand,2014,35000,35000,NA,0,27000,27155,NA,0,0,69960943,NA,50.027913,0
TLS,Timor-Leste,2014,900,900,2100,2086,2300,2329,NA,0,0,1184830,NA,75.960264,0
TON,Tonga,2014,NA,0,NA,NA,5300,5306,NA,0,0,106626,NA,0,0
VNM,Viet Nam,2014,NA,0,NA,NA,68000,67950,NA,0,0,91235504,NA,0,0
VUT,Vanuatu,2014,NA,0,NA,NA,350,349,NA,0,0,269927,NA,0,0
AFG,Afghanistan,2013,631000,631000,124000,124000,15000,15170,NA,0,0,31541209,NA,2000.557429,0
AUS,Australia,2013,NA,0,NA,NA,13000,12734,NA,0,0,23128129,NA,0,0
BGD,Bangladesh,2013,426000,426490,NA,0,1160000,1159829,NA,0,0,154030139,NA,276.887369,0
CHN,China,2013,NA,0,NA,NA,5924000,5924143,NA,0,0,1363240000,NA,0,0
IDN,Indonesia,2013,90000,90000,3000,3000,427000,427422,NA,0,0,253275918,NA,35.534369,0
