Atoll,island,atoll_official,indicator_full,value,sex_modifier,population_modifier,indicator,indicator2,value2
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Elderly Population  (65+ yrs) Both sexes,131,Both sexes,Resident Maldivians, 2022 Elderly Population  (65+ yrs) Both sexes, 2022 Elderly Population  (65+ yrs) Both sexes,131
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (0-17 yrs),41.645053723601336,NA,Resident Maldivians, (%) Child Population (0-17 yrs), (%) Child Population (0-17 yrs),41.645053723601336
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (International) (0-14 yrs),36.235642830678024,NA,Resident Maldivians, (%) Child Population (International) (0-14 yrs), (%) Child Population (International) (0-14 yrs),36.235642830678024
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population (%) Adolescent Population (International) (10-19 yrs),19.08114116339385,NA,Resident Maldivians, (%) Adolescent Population (International) (10-19 yrs), (%) Adolescent Population (International) (10-19 yrs),19.08114116339385
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population (%) Working Age Population (15-64 yrs),58.910707669507225,NA,Resident Maldivians, (%) Working Age Population (15-64 yrs), (%) Working Age Population (15-64 yrs),58.910707669507225
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (International) (15-24 yrs),11.930344572063726,NA,Resident Maldivians, (%) Youth Population (International) (15-24 yrs), (%) Youth Population (International) (15-24 yrs),11.930344572063726
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (National) (18-35 yrs),26.268988514264542,NA,Resident Maldivians, (%) Youth Population (National) (18-35 yrs), (%) Youth Population (National) (18-35 yrs),26.268988514264542
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population (%) Elderly Population  (65+ yrs),4.853649499814746,NA,Resident Maldivians, (%) Elderly Population  (65+ yrs), (%) Elderly Population  (65+ yrs),4.853649499814746
HA,Ihavandhoo,Haa Alif Atoll,Area (in hectare),62.575702,NA,NA,Area (in hectare),Area (in hectare),62.575702
HA,Ihavandhoo,Haa Alif Atoll,Area (in sq km),0.62575702,NA,NA,Area (in sq km),Area (in sq km),0.62575702
HA,Ihavandhoo,Haa Alif Atoll,Population density Resident Maldivian Population,4313.175743517828,NA,Resident Maldivians,Population density ,Population density ,4313.175743517828
